Cell Line HMS LINCS ID,Cell Line Name,Unclassified Perturbagen HMS LINCS ID,Unclassified Perturbagen Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50131-2,CAMA-1,,,200865,IL-1 alpha,11112,1,ng/ml,10,minute,pErk,847.463
50131-2,CAMA-1,,,200865,IL-1 alpha,11060,100,ng/ml,10,minute,pErk,1030.874
50131-2,CAMA-1,,,200865,IL-1 alpha,10868,1,ng/ml,30,minute,pErk,1106.850
50131-2,CAMA-1,,,200865,IL-1 alpha,11172,100,ng/ml,30,minute,pErk,1340.768
50131-2,CAMA-1,,,200865,IL-1 alpha,10880,1,ng/ml,90,minute,pErk,961.162
50131-2,CAMA-1,,,200865,IL-1 alpha,11092,100,ng/ml,90,minute,pErk,898.830
50131-2,CAMA-1,,,200865,IL-1 alpha,10536,1,ng/ml,10,minute,pSTAT1,227.885
50131-2,CAMA-1,,,200865,IL-1 alpha,10504,100,ng/ml,10,minute,pSTAT1,253.649
50131-2,CAMA-1,,,200865,IL-1 alpha,10812,1,ng/ml,30,minute,pSTAT1,268.984
50131-2,CAMA-1,,,200865,IL-1 alpha,10740,100,ng/ml,30,minute,pSTAT1,256.404
50131-2,CAMA-1,,,200865,IL-1 alpha,10600,1,ng/ml,90,minute,pSTAT1,239.995
50131-2,CAMA-1,,,200865,IL-1 alpha,10700,100,ng/ml,90,minute,pSTAT1,281.698
50131-2,CAMA-1,,,200865,IL-1 alpha,10652,1,ng/ml,10,minute,pSTAT3,135.867
50131-2,CAMA-1,,,200865,IL-1 alpha,10568,100,ng/ml,10,minute,pSTAT3,353.071
50131-2,CAMA-1,,,200865,IL-1 alpha,10760,1,ng/ml,30,minute,pSTAT3,59.206
50131-2,CAMA-1,,,200865,IL-1 alpha,10488,100,ng/ml,30,minute,pSTAT3,340.251
50131-2,CAMA-1,,,200865,IL-1 alpha,10792,1,ng/ml,90,minute,pSTAT3,63.003
50131-2,CAMA-1,,,200865,IL-1 alpha,10676,100,ng/ml,90,minute,pSTAT3,65.327
50578-2,HCC1187,,,200865,IL-1 alpha,13352,1,ng/ml,10,minute,NF-kB,2.772
50578-2,HCC1187,,,200865,IL-1 alpha,13188,100,ng/ml,10,minute,NF-kB,3.375
50578-2,HCC1187,,,200865,IL-1 alpha,13484,1,ng/ml,30,minute,NF-kB,6.934
50578-2,HCC1187,,,200865,IL-1 alpha,13356,100,ng/ml,30,minute,NF-kB,4.324
50578-2,HCC1187,,,200865,IL-1 alpha,13384,1,ng/ml,90,minute,NF-kB,4.797
50578-2,HCC1187,,,200865,IL-1 alpha,13396,100,ng/ml,90,minute,NF-kB,4.049
50578-2,HCC1187,,,200865,IL-1 alpha,13252,1,ng/ml,10,minute,pErk,778.897
50578-2,HCC1187,,,200865,IL-1 alpha,13480,100,ng/ml,10,minute,pErk,1011.465
50578-2,HCC1187,,,200865,IL-1 alpha,13488,1,ng/ml,30,minute,pErk,845.292
50578-2,HCC1187,,,200865,IL-1 alpha,13256,100,ng/ml,30,minute,pErk,1097.825
50578-2,HCC1187,,,200865,IL-1 alpha,13196,1,ng/ml,90,minute,pErk,826.189
50578-2,HCC1187,,,200865,IL-1 alpha,13456,100,ng/ml,90,minute,pErk,825.082
50578-2,HCC1187,,,200865,IL-1 alpha,13136,1,ng/ml,10,minute,pSTAT1,193.219
50578-2,HCC1187,,,200865,IL-1 alpha,12804,100,ng/ml,10,minute,pSTAT1,259.371
50578-2,HCC1187,,,200865,IL-1 alpha,12932,1,ng/ml,30,minute,pSTAT1,230.547
50578-2,HCC1187,,,200865,IL-1 alpha,12768,100,ng/ml,30,minute,pSTAT1,192.587
50578-2,HCC1187,,,200865,IL-1 alpha,12892,1,ng/ml,90,minute,pSTAT1,203.228
50578-2,HCC1187,,,200865,IL-1 alpha,13048,100,ng/ml,90,minute,pSTAT1,204.339
50578-2,HCC1187,,,200865,IL-1 alpha,12904,1,ng/ml,10,minute,pSTAT3,108.040
50578-2,HCC1187,,,200865,IL-1 alpha,13024,100,ng/ml,10,minute,pSTAT3,107.602
50578-2,HCC1187,,,200865,IL-1 alpha,12808,1,ng/ml,30,minute,pSTAT3,109.005
50578-2,HCC1187,,,200865,IL-1 alpha,12760,100,ng/ml,30,minute,pSTAT3,94.767
50578-2,HCC1187,,,200865,IL-1 alpha,12788,1,ng/ml,90,minute,pSTAT3,102.570
50578-2,HCC1187,,,200865,IL-1 alpha,12876,100,ng/ml,90,minute,pSTAT3,98.896
50206-2,HCC1395,,,200865,IL-1 alpha,36642,1,ng/ml,10,minute,NF-kB,1.464
50206-2,HCC1395,,,200865,IL-1 alpha,36654,100,ng/ml,10,minute,NF-kB,3.420
50206-2,HCC1395,,,200865,IL-1 alpha,36618,1,ng/ml,30,minute,NF-kB,4.183
50206-2,HCC1395,,,200865,IL-1 alpha,36858,100,ng/ml,30,minute,NF-kB,4.764
50206-2,HCC1395,,,200865,IL-1 alpha,36758,1,ng/ml,90,minute,NF-kB,3.580
50206-2,HCC1395,,,200865,IL-1 alpha,36754,100,ng/ml,90,minute,NF-kB,2.436
50206-2,HCC1395,,,200865,IL-1 alpha,36862,1,ng/ml,10,minute,pErk,495.997
50206-2,HCC1395,,,200865,IL-1 alpha,36594,100,ng/ml,10,minute,pErk,489.192
50206-2,HCC1395,,,200865,IL-1 alpha,36710,1,ng/ml,30,minute,pErk,516.558
50206-2,HCC1395,,,200865,IL-1 alpha,36678,100,ng/ml,30,minute,pErk,507.859
50206-2,HCC1395,,,200865,IL-1 alpha,36810,1,ng/ml,90,minute,pErk,482.015
50206-2,HCC1395,,,200865,IL-1 alpha,36946,100,ng/ml,90,minute,pErk,491.245
50206-2,HCC1395,,,200865,IL-1 alpha,36290,1,ng/ml,10,minute,pSTAT1,243.296
50206-2,HCC1395,,,200865,IL-1 alpha,36354,100,ng/ml,10,minute,pSTAT1,245.733
50206-2,HCC1395,,,200865,IL-1 alpha,36574,1,ng/ml,30,minute,pSTAT1,237.318
50206-2,HCC1395,,,200865,IL-1 alpha,36462,100,ng/ml,30,minute,pSTAT1,296.243
50206-2,HCC1395,,,200865,IL-1 alpha,36230,1,ng/ml,90,minute,pSTAT1,250.871
50206-2,HCC1395,,,200865,IL-1 alpha,36338,100,ng/ml,90,minute,pSTAT1,262.534
50206-2,HCC1395,,,200865,IL-1 alpha,36202,1,ng/ml,10,minute,pSTAT3,173.290
50206-2,HCC1395,,,200865,IL-1 alpha,36446,100,ng/ml,10,minute,pSTAT3,180.277
50206-2,HCC1395,,,200865,IL-1 alpha,36506,1,ng/ml,30,minute,pSTAT3,146.186
50206-2,HCC1395,,,200865,IL-1 alpha,36406,100,ng/ml,30,minute,pSTAT3,121.824
50206-2,HCC1395,,,200865,IL-1 alpha,36426,1,ng/ml,90,minute,pSTAT3,206.324
50206-2,HCC1395,,,200865,IL-1 alpha,36418,100,ng/ml,90,minute,pSTAT3,222.337
50207-2,HCC1419,,,200865,IL-1 alpha,31944,1,ng/ml,10,minute,NF-kB,1.371
50207-2,HCC1419,,,200865,IL-1 alpha,31900,100,ng/ml,10,minute,NF-kB,1.110
50207-2,HCC1419,,,200865,IL-1 alpha,31816,1,ng/ml,30,minute,NF-kB,1.139
50207-2,HCC1419,,,200865,IL-1 alpha,31952,100,ng/ml,30,minute,NF-kB,1.113
50207-2,HCC1419,,,200865,IL-1 alpha,31792,1,ng/ml,90,minute,NF-kB,1.290
50207-2,HCC1419,,,200865,IL-1 alpha,31876,100,ng/ml,90,minute,NF-kB,1.218
50207-2,HCC1419,,,200865,IL-1 alpha,31892,1,ng/ml,10,minute,pErk,2727.566
50207-2,HCC1419,,,200865,IL-1 alpha,31920,100,ng/ml,10,minute,pErk,2857.163
50207-2,HCC1419,,,200865,IL-1 alpha,31820,1,ng/ml,30,minute,pErk,2674.858
50207-2,HCC1419,,,200865,IL-1 alpha,31672,100,ng/ml,30,minute,pErk,2647.055
50207-2,HCC1419,,,200865,IL-1 alpha,31740,1,ng/ml,90,minute,pErk,2867.508
50207-2,HCC1419,,,200865,IL-1 alpha,31916,100,ng/ml,90,minute,pErk,2598.185
50207-2,HCC1419,,,200865,IL-1 alpha,31312,1,ng/ml,10,minute,pSTAT1,438.806
50207-2,HCC1419,,,200865,IL-1 alpha,31296,100,ng/ml,10,minute,pSTAT1,429.776
50207-2,HCC1419,,,200865,IL-1 alpha,31436,1,ng/ml,30,minute,pSTAT1,434.733
50207-2,HCC1419,,,200865,IL-1 alpha,31476,100,ng/ml,30,minute,pSTAT1,445.098
50207-2,HCC1419,,,200865,IL-1 alpha,31280,1,ng/ml,90,minute,pSTAT1,435.272
50207-2,HCC1419,,,200865,IL-1 alpha,31284,100,ng/ml,90,minute,pSTAT1,443.894
50207-2,HCC1419,,,200865,IL-1 alpha,31232,1,ng/ml,10,minute,pSTAT3,107.295
50207-2,HCC1419,,,200865,IL-1 alpha,31560,100,ng/ml,10,minute,pSTAT3,105.740
50207-2,HCC1419,,,200865,IL-1 alpha,31520,1,ng/ml,30,minute,pSTAT3,105.944
50207-2,HCC1419,,,200865,IL-1 alpha,31316,100,ng/ml,30,minute,pSTAT3,102.220
50207-2,HCC1419,,,200865,IL-1 alpha,31372,1,ng/ml,90,minute,pSTAT3,101.658
50207-2,HCC1419,,,200865,IL-1 alpha,31512,100,ng/ml,90,minute,pSTAT3,100.209
50208-2,HCC1428,,,200865,IL-1 alpha,51387,1,ng/ml,10,minute,NF-kB,0.656
50208-2,HCC1428,,,200865,IL-1 alpha,51459,100,ng/ml,10,minute,NF-kB,2.225
50208-2,HCC1428,,,200865,IL-1 alpha,51335,1,ng/ml,30,minute,NF-kB,0.959
50208-2,HCC1428,,,200865,IL-1 alpha,51175,100,ng/ml,30,minute,NF-kB,3.110
50208-2,HCC1428,,,200865,IL-1 alpha,51227,1,ng/ml,90,minute,NF-kB,1.532
50208-2,HCC1428,,,200865,IL-1 alpha,51463,100,ng/ml,90,minute,NF-kB,1.531
50208-2,HCC1428,,,200865,IL-1 alpha,51487,1,ng/ml,10,minute,pErk,186.247
50208-2,HCC1428,,,200865,IL-1 alpha,51379,100,ng/ml,10,minute,pErk,186.370
50208-2,HCC1428,,,200865,IL-1 alpha,51203,1,ng/ml,30,minute,pErk,188.556
50208-2,HCC1428,,,200865,IL-1 alpha,51347,100,ng/ml,30,minute,pErk,296.111
50208-2,HCC1428,,,200865,IL-1 alpha,51339,1,ng/ml,90,minute,pErk,210.020
50208-2,HCC1428,,,200865,IL-1 alpha,51355,100,ng/ml,90,minute,pErk,197.615
50208-2,HCC1428,,,200865,IL-1 alpha,50940,1,ng/ml,10,minute,pSTAT1,135.931
50208-2,HCC1428,,,200865,IL-1 alpha,50944,100,ng/ml,10,minute,pSTAT1,125.399
50208-2,HCC1428,,,200865,IL-1 alpha,50972,1,ng/ml,30,minute,pSTAT1,128.078
50208-2,HCC1428,,,200865,IL-1 alpha,50960,100,ng/ml,30,minute,pSTAT1,42.791
50208-2,HCC1428,,,200865,IL-1 alpha,51048,1,ng/ml,90,minute,pSTAT1,120.310
50208-2,HCC1428,,,200865,IL-1 alpha,50860,100,ng/ml,90,minute,pSTAT1,125.771
50208-2,HCC1428,,,200865,IL-1 alpha,51091,1,ng/ml,10,minute,pSTAT3,29.464
50208-2,HCC1428,,,200865,IL-1 alpha,51123,100,ng/ml,10,minute,pSTAT3,25.534
50208-2,HCC1428,,,200865,IL-1 alpha,50932,1,ng/ml,30,minute,pSTAT3,22.240
50208-2,HCC1428,,,200865,IL-1 alpha,50780,100,ng/ml,30,minute,pSTAT3,28.028
50208-2,HCC1428,,,200865,IL-1 alpha,51119,1,ng/ml,90,minute,pSTAT3,27.218
50208-2,HCC1428,,,200865,IL-1 alpha,50988,100,ng/ml,90,minute,pSTAT3,30.031
50579-1,HCC1500,,,200865,IL-1 alpha,49128,1,ng/ml,10,minute,NF-kB,3.106
50579-1,HCC1500,,,200865,IL-1 alpha,48868,100,ng/ml,10,minute,NF-kB,5.996
50579-1,HCC1500,,,200865,IL-1 alpha,49187,1,ng/ml,30,minute,NF-kB,6.434
