Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50029-3,MCF7,10039-101-1,WH-4-025,1.11,uM,LJP5,72,hr,1389,1603,5905,0.2716,0.0711
50029-3,MCF7,10039-101-1,WH-4-025,3.33,uM,LJP5,72,hr,1389,1662,5905,0.2815,0.0896
50029-3,MCF7,10039-101-1,WH-4-025,10,uM,LJP5,72,hr,1389,1328,5905,0.2254,-0.0211
50029-3,MCF7,10040-101-1,R406,0.04,uM,LJP6,72,hr,1389,4780,5445,0.8774,0.8706
50029-3,MCF7,10040-101-1,R406,0.12,uM,LJP6,72,hr,1389,5075,5445,0.9308,0.9273
50029-3,MCF7,10040-101-1,R406,0.37,uM,LJP6,72,hr,1389,5010,5445,0.9192,0.9153
50029-3,MCF7,10040-101-1,R406,1.11,uM,LJP6,72,hr,1389,4320,5445,0.7919,0.7742
50029-3,MCF7,10040-101-1,R406,3.33,uM,LJP6,72,hr,1389,4113,5445,0.7561,0.7355
50029-3,MCF7,10040-101-1,R406,10,uM,LJP6,72,hr,1389,2309,5445,0.4230,0.2906
50029-3,MCF7,10041-101-1,BI-2536,0.04,uM,LJP6,72,hr,1389,1537,5445,0.2817,0.0501
50029-3,MCF7,10041-101-1,BI-2536,0.12,uM,LJP6,72,hr,1389,1510,5445,0.2772,0.0418
50029-3,MCF7,10041-101-1,BI-2536,0.37,uM,LJP6,72,hr,1389,1446,5445,0.2652,0.0182
50029-3,MCF7,10041-101-1,BI-2536,1.11,uM,LJP6,72,hr,1389,1412,5445,0.2594,0.0075
50029-3,MCF7,10041-101-1,BI-2536,3.33,uM,LJP6,72,hr,1389,1341,5445,0.2464,-0.0191
50029-3,MCF7,10041-101-1,BI-2536,10,uM,LJP6,72,hr,1389,912,5445,0.1676,-0.1930
50029-3,MCF7,10045-101-1,A443654,0.04,uM,LJP6,72,hr,1389,1385,5445,0.2540,-0.0037
50029-3,MCF7,10045-101-1,A443654,0.12,uM,LJP6,72,hr,1389,1052,5445,0.1933,-0.1323
50029-3,MCF7,10045-101-1,A443654,0.37,uM,LJP6,72,hr,1389,886,5445,0.1622,-0.2067
50029-3,MCF7,10045-101-1,A443654,1.11,uM,LJP6,72,hr,1389,804,5445,0.1473,-0.2445
50029-3,MCF7,10045-101-1,A443654,3.33,uM,LJP6,72,hr,1389,803,5445,0.1477,-0.2433
