Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,Average VIP Score
50988,LOXIMVI,1,hr,p-Histone H3(S10),-0.38163
50988,LOXIMVI,1,hr,p27 Kip1,0.51672
50988,LOXIMVI,5,hr,p-p90RSK(S380),-0.62545
50988,LOXIMVI,5,hr,p-p90RSK(T573),0.18547
50988,LOXIMVI,5,hr,p-AKT(T308),0.42531
50988,LOXIMVI,5,hr,p-AKT(S473),-1.36050
50988,LOXIMVI,5,hr,p-mTOR(S2448),NaN
50988,LOXIMVI,5,hr,p-p70S6K(T421/S424),-1.11330
50988,LOXIMVI,5,hr,p-p70S6K(T389),NaN
50988,LOXIMVI,5,hr,p-S6(S235/236),0.40293
50988,LOXIMVI,5,hr,p-AMPK(T172),-0.56008
50988,LOXIMVI,5,hr,p-JNK(T183/Y185),NaN
50988,LOXIMVI,5,hr,Total c-Jun,0.61308
50988,LOXIMVI,5,hr,p-cJun(S63),-1.41610
50988,LOXIMVI,5,hr,p-P38(T180/Y182),NaN
50988,LOXIMVI,5,hr,p-HSP27(S82),-0.79216
50988,LOXIMVI,5,hr,p-NFKB(S536),-2.30720
50988,LOXIMVI,5,hr,Bim,-0.90854
50988,LOXIMVI,5,hr,cPARP,-0.79855
50988,LOXIMVI,5,hr,p-Histone H3(S10),-0.50964
50988,LOXIMVI,5,hr,p27 Kip1,NaN
50988,LOXIMVI,10,hr,p-p90RSK(S380),1.05860
50988,LOXIMVI,10,hr,p-p90RSK(T573),0.88080
50988,LOXIMVI,10,hr,p-AKT(T308),0.51167
50988,LOXIMVI,10,hr,p-AKT(S473),NaN
50988,LOXIMVI,10,hr,p-mTOR(S2448),1.38080
50988,LOXIMVI,10,hr,p-p70S6K(T421/S424),1.33380
50988,LOXIMVI,10,hr,p-p70S6K(T389),1.20350
50988,LOXIMVI,10,hr,p-S6(S235/236),0.80947
50988,LOXIMVI,10,hr,p-AMPK(T172),0.73765
50988,LOXIMVI,10,hr,p-JNK(T183/Y185),0.72840
50988,LOXIMVI,10,hr,Total c-Jun,1.10060
50988,LOXIMVI,10,hr,p-cJun(S63),NaN
50988,LOXIMVI,10,hr,p-P38(T180/Y182),1.11190
50988,LOXIMVI,10,hr,p-HSP27(S82),1.18970
50988,LOXIMVI,10,hr,p-NFKB(S536),0.82367
50988,LOXIMVI,10,hr,Bim,0.60869
50988,LOXIMVI,10,hr,cPARP,0.54372
50988,LOXIMVI,10,hr,p-Histone H3(S10),0.16044
50988,LOXIMVI,10,hr,p27 Kip1,NaN
50988,LOXIMVI,24,hr,p-p90RSK(S380),0.99998
50988,LOXIMVI,24,hr,p-p90RSK(T573),1.49600
50988,LOXIMVI,24,hr,p-AKT(T308),1.44550
50988,LOXIMVI,24,hr,p-AKT(S473),-0.66718
50988,LOXIMVI,24,hr,p-mTOR(S2448),0.86508
50988,LOXIMVI,24,hr,p-p70S6K(T421/S424),-0.47196
50988,LOXIMVI,24,hr,p-p70S6K(T389),0.80346
50988,LOXIMVI,24,hr,p-S6(S235/236),1.03100
50988,LOXIMVI,24,hr,p-AMPK(T172),-0.63520
50988,LOXIMVI,24,hr,p-JNK(T183/Y185),NaN
50988,LOXIMVI,24,hr,Total c-Jun,1.25400
50988,LOXIMVI,24,hr,p-cJun(S63),NaN
50988,LOXIMVI,24,hr,p-P38(T180/Y182),0.74572
50988,LOXIMVI,24,hr,p-HSP27(S82),0.05787
50988,LOXIMVI,24,hr,p-NFKB(S536),-0.66655
50988,LOXIMVI,24,hr,Bim,NaN
50988,LOXIMVI,24,hr,cPARP,NaN
50988,LOXIMVI,24,hr,p-Histone H3(S10),2.28260
50988,LOXIMVI,24,hr,p27 Kip1,-0.95217
50988,LOXIMVI,48,hr,p-p90RSK(S380),0.85142
50988,LOXIMVI,48,hr,p-p90RSK(T573),0.78878
50988,LOXIMVI,48,hr,p-AKT(T308),1.19510
