Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_EGF,FI_FGF,FI_GMCSF,FI_HGF,FI_IL-5,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-13,FI_MCP-1,FI_PDGF,FI_TGF-a,FI_VEGF
50084-1,A549,1,45,417,2,57,3,-5,396,9,109,576,16,13,43
50084-1,A549,1,74,67,-20,24,14,6,1050,-22,134,10446,1,26,149
50084-1,A549,1,77,91,35,9,20,-20,1293,19,120,7649,37,34,105
50084-1,A549,1,78,542,28,39,6,3,241,24,175,167,77,116,60
50084-1,A549,1,78,85,61,-29,12,18,847,8,259,6151,13,161,146
50084-1,A549,1,13,89,-21,3,-4,71,5489,0,187,11178,25,40,147
50084-1,A549,1,66,136,-37,17,50,-2,3173,6,110,5788,0,71,85
50084-1,A549,1,139,106,65,-6,19,46,2284,25,163,8714,-17,63,748
50084-1,A549,1,81,105,16,21,-16,17,447,54,204,1848,32,42,117
50084-1,A549,1,129,140,-4,17,-8,-10,417,-23,93,5927,43,43,183
50084-1,A549,1,73,120,29,-2,-21,-12,322,48,110,69,40,0,78
50084-1,A549,1,34,542,8,21,8,15,9406,-6,145,6860,-7,53,318
50084-1,A549,1,33,2282,12,-11,-1,-53,149,3,63,-26,20,9,-1
50084-1,A549,1,102,131,-1,22,-10,47,61,29,-19,14,29,53,51
50084-1,A549,1,129,768,31,-7,36,-11,1370,2,68,60,13,31,71
50084-1,A549,1,186,953,42,20,263,-1,6449,-45,359,19684,427,15,-180
50084-1,A549,1,183,585,47,6,-18,30,5181,63,468,15901,46,-7,388
50084-1,A549,1,202,439,-60,18,53,42,7695,-19,276,2945,39,64,263
50084-1,A549,1,218,596,19,24,-59,451,3685,64,274,13354,47,102,351
50084-1,A549,1,164,334,-24,39,34,2,8025,-41,138,10074,35,97,103
50084-1,A549,1,199,204,-12,37,39,6,1021,26,89,15422,-30,59,111
50084-1,A549,1,150,416,3,23,20,56,6986,-6,71,2975,43,57,93
50084-1,A549,1,214,559,15,71,31,117,3926,-6,127,9785,59,91,227
50084-1,A549,1,297,11072,-20,31,-12,31,1476,-22,153,12932,75,27,853
50084-1,A549,1,164,410,13,42,-26,-54,10087,-12,296,14304,85,10,378
50084-1,A549,1,183,372,50,6,9,21,3331,37,306,9644,76,61,252
50084-1,A549,1,108,252,-29,37,21,-32,1029,0,106,10944,64,24,127
50084-1,A549,1,159,343,15,59,28,-7,214,37,388,9660,32,87,369
50084-1,A549,1,45,203,1,41,8,55,109,111,406,227,73,-6,130
50084-1,A549,1,158,579,13,27,35,7453,471,47,168,70,70,34,125
50084-1,A549,1,196,291,43,25,52,161,4717,17,430,10588,106,112,501
50084-1,A549,1,167,202,3,65,43,69,1379,-17,186,7569,66,108,222
50084-1,A549,1,-1,167,18,4,27,20,750,21,317,8464,37,27,149
50084-1,A549,1,186,150,-12,52,48,25,5829,6,218,10441,22,6,233
50084-1,A549,1,223,263,-20,68,12,11,378,30,263,10845,93,112,700
50084-1,A549,1,124,95,78,24,-7,181,2401,-3,503,932,36,75,160
50084-1,A549,1,97,255,59,38,13,12,839,-6,282,10402,53,-19,821
50084-1,A549,1,86,67,-9,27,-27,33,146,19,150,5026,-11,17,218
50084-1,A549,1,143,807,0,-4,34,-13,1616,6,146,8645,-16,27,51
50084-1,A549,1,199,558,17,15,23,30,873,28,107,2,30,57,40
50084-1,A549,1,246,379,-1,28,56,280,12436,-9,176,12991,119,153,311
50084-1,A549,1,132,78,88,51,26,-1,1357,51,393,5462,17,47,159
50084-1,A549,1,81,130,-16,19,-5,46,5868,28,189,7627,29,66,437
50084-1,A549,1,49,89,4,2,-8,-8,590,6,122,2562,-22,33,264
50084-1,A549,1,86,180,47,12,15,2,391,16,216,8108,-25,29,288
50084-1,A549,1,198,341,40,21,29,74,4744,48,380,9047,73,97,561
50084-1,A549,1,155,752,-2,-13,39,29,354,-13,127,658,17,12,127
50084-1,A549,1,152,295,-26,0,-19,-54,120,-13,34,12354,9,36,439
50084-1,A549,1,173,884,32,86,23,32,1211,63,184,9346,35,69,194
50084-1,A549,1,157,119,-40,4,10,19,11859,-69,-60,14481,49,42,171
50084-1,A549,1,82,232,26,17,35,70,9949,-23,-4,9390,27,32,152
50084-1,A549,1,136,108,66,-23,27,-5,2545,-9,244,10146,16,23,165
50084-1,A549,1,126,324,55,-27,12,2,232,79,258,1228,22,19,213
50084-1,A549,1,122,247,-8,44,63,-12,398,31,218,6322,62,31,282
50084-1,A549,1,170,146,29,56,64,19,10301,-41,163,10810,107,60,633
50084-1,A549,1,85,103,-14,54,-3,181,5721,17,288,8809,39,79,116
50084-1,A549,1,121,8713,31,24,28,123,4896,-37,121,4838,50,88,85
50084-1,A549,1,151,293,35,11,52,37,871,-1,282,8685,22,116,324
50084-1,A549,1,152,386,17,77,44,5,3964,-38,278,298,72,35,240
50084-1,A549,1,186,270,-4,7,28,2,2142,32,268,10396,24,35,284
50084-1,A549,1,189,128,3,13,-27,-2,5098,-17,506,17718,39,61,321
50084-1,A549,1,103,206,77,33,27,31,120,17,266,238,43,-16,87
50084-1,A549,1,63,133,3,28,57,38,167,15,359,9870,41,35,251
50084-1,A549,1,139,89,74,27,19,54,243,13,486,12076,48,14,278
50084-1,A549,1,125,54,92,45,-40,25,6956,-21,441,12022,34,19,204
50084-1,A549,1,145,323,17,19,74,39,297,29,399,214,60,42,121
50084-1,A549,1,133,1115,5,43,-15,11,133,0,152,34,45,66,119
50084-1,A549,1,82,604,-15,-2,45,-22,3499,17,103,9233,4,166,194
50084-1,A549,1,126,281,-27,41,-14,-32,766,20,189,13902,1,17,543
50084-1,A549,1,190,700,2,44,1,31,57,-3,118,-3,40,24,72
50084-1,A549,1,121,207,9,28,5,22,394,-11,297,427,-25,22,120
50084-1,A549,1,155,577,-4,20,42,12,1099,41,286,838,108,88,131
50084-1,A549,1,248,272,-15,16,29,3,151,15,548,6544,91,89,219
50084-1,A549,1,120,205,0,28,-4,32,2110,-1,228,4412,77,80,184
50084-1,A549,1,171,60,3,-14,24,11,3889,32,218,10465,-1,39,572
50084-1,A549,1,109,109,16,11,17,24,1769,13,196,6267,46,68,117
50084-1,A549,1,89,1639,-4,25,-7,-15,1964,-2,199,7273,12,-11,97
50084-1,A549,1,65,1071,2,46,0,16,443,-9,182,260,20,15,67
50084-1,A549,1,78,2779,42,22,-19,-8,1573,38,234,1907,33,30,160
50084-1,A549,1,186,524,28,-8,-7,-1,25,26,44,33,62,45,99
50084-1,A549,1,321,376,884,206,86,13716,10071,5,140,9139,61,532,3935
50084-1,A549,1,160,439,-14,44,32,35,144,28,140,56,43,45,79
50084-1,A549,1,131,126,7,16,58,34,214,23,354,75,46,62,142
50084-1,A549,1,134,281,-34,3,10,1411,383,10,182,11708,18,32,674
50084-1,A549,1,163,369,-8,22,55,49,2221,72,293,2531,66,95,317
50084-1,A549,1,199,377,92,56,4,375,12999,89,513,11114,108,507,1761
50084-1,A549,1,102,251,19,6,10,-18,80,-31,47,0,63,11,16
50084-1,A549,1,115,333,22,59,53,33,5386,52,333,1194,78,70,159
50084-1,A549,1,38,-58,24,-27,-10,4,2742,3,133,57,1,72,76
50084-1,A549,1,259,409,29,-3,6,63,14888,-2,146,7353,80,171,647
50084-1,A549,1,61,190,3,49,8,18,780,18,77,44,-4,43,92
50084-1,A549,1,60,56,41,19,1,35,7529,38,89,665,24,28,28
50084-1,A549,1,172,350,49,127,81,-10,350,11,80,2524,109,33,90
50084-1,A549,1,197,2452,36,6,8,2,500,-1,184,5047,0,29,123
50084-1,A549,1,215,505,94,67,-31,3,106,5,332,9718,34,46,158
50084-1,A549,1,211,298,11,14,9,-11,418,14,146,4993,11,15,300
50084-1,A549,1,60,148,13,24,38,-5,178,31,472,10676,89,3,192
50084-1,A549,1,79,1246,82,42,11,-2,2157,12,152,382,102,1,62
50084-1,A549,1,126,1335,12,69,5,0,440,8,129,2181,72,12,177
50084-1,A549,1,75,24,36,-7,39,16,113,-14,235,16,-24,2,96
50084-1,A549,1,173,670,-1,45,5,12993,6155,12,225,15923,38,-9,1109
