Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,log10[max. dose (M)],R^2 (goodness of fit),log10[EC50 (M)],log10[IC50 (M)],log10[GI50 (M)],HillSlope,E_inf,E_max,AUC
10026-101-3,PD173074,50208-1,HCC1428,-4.4776,0.9713,-5.1368,-5.1367,-5.3555,2.3020,0.0000,0.0295,7.2858
10026-101-3,PD173074,50210-1,HCC1569,-4.4776,0.9700,-5.0968,-5.0968,-5.2307,2.3460,0.0000,0.0341,7.3805
10026-101-3,PD173074,50211-1,HCC1806,-4.4776,0.9650,-5.3356,-5.3190,-5.4146,2.0860,0.0381,0.0534,6.9584
10026-101-3,PD173074,50212-1,HCC1937,-4.4776,0.9241,-5.0937,-5.0084,-5.1118,3.9980,0.2718,0.2743,8.2801
10026-101-3,PD173074,50213-1,HCC1954,-4.4776,0.8583,-5.0158,-5.0157,-5.1428,2.4195,0.0000,0.0584,7.4943
10026-101-3,PD173074,50214-1,HCC202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50216-1,HCC38,-4.4776,0.8959,-5.1760,-5.1760,-5.5642,1.0688,0.0000,0.1685,7.2602
10026-101-3,PD173074,50219-1,HCC70,-4.4776,0.9384,-5.0984,-4.9585,-5.1367,3.9970,0.3619,0.3640,8.0867
10026-101-3,PD173074,50238-1,Hs 578T,-4.4776,0.9605,-5.1880,-5.1880,-5.3134,1.4440,0.0000,0.0861,7.6732
10026-101-3,PD173074,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50327-1,MDA-MB-134-VI,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7443
10026-101-3,PD173074,50328-1,MDA-MB-157,-4.4776,0.9652,-5.2152,-5.2151,-5.7010,1.1860,0.0000,0.1177,7.2226
10026-101-3,PD173074,50329-1,MDA-MB-175-VII,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50331-1,MDA-MB-361,-4.4776,0.9419,-4.7887,-4.7887,-4.6550,3.3020,0.0000,0.0858,8.3236
10026-101-3,PD173074,50333-1,MDA-MB-436,-4.4776,0.9492,-5.0428,-5.0428,-5.1998,1.5480,0.0000,0.1177,7.5471
10026-101-3,PD173074,50334-1,MDA-MB-453,-4.4776,0.9366,-5.2996,-5.2994,-5.7672,0.7388,0.0000,0.1831,7.2012
10026-101-3,PD173074,50335-1,MDA-MB-468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50541-1,T47D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50556-1,UACC-812,-4.4776,0.7751,-4.8157,-4.8156,-5.1400,2.2990,0.0000,0.2006,7.6218
