Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,40,33,-19,15,16,20,1272,20,36,2,1617,-1,1419,-23
50869-1,U-937,1,23,9,-10,2,14,13,57,0,5,4,2324,29,381,-33
50869-1,U-937,1,17,13,-7,50,-10,11,212,10,16,24,153,-13,21,-12
50869-1,U-937,1,8,0,24,-2,3,51,858,46,58,17,1590,2,1667,-19
50869-1,U-937,1,32,12,41,2,24,-3,2859,7,35,50,1310,-1,1374,-3
50869-1,U-937,1,19,3,31,-3,-3,10,716,18,37,22,1749,35,644,10
50869-1,U-937,1,-39,-1,23,-17,6,40,135,34,12,116,3769,-12,1681,13
50869-1,U-937,1,26,17,9,-8,6,28,345,-11,-8,106,1567,-4,391,-4
50869-1,U-937,1,50,3,16,-19,9,81,145,44,34,30,549,-13,446,14
50869-1,U-937,1,7,-22,16,7,-4,39,690,22,39,26,1767,25,74,21
50869-1,U-937,1,13,37,19,10,-4,25,69,20,10,6,313,1,448,-14
50869-1,U-937,1,30,17,33,-1,5,29,109,26,-16,41,420,-9,455,16
50869-1,U-937,1,35,24,25,-4,30,21,47,26,32,19,692,1,496,10
50869-1,U-937,1,15,24,19,37,-12,52,59,20,59,37,318,-1,2249,7
50869-1,U-937,1,29,19,24,49,7,13,27,8,21,28,250,8,97,41
50869-1,U-937,1,51,22,36,17,43,43,127,36,26,51,837,4,622,38
50869-1,U-937,1,69,13,28,51,5,56,214,37,27,11,1161,-19,1025,15
50869-1,U-937,1,129,37,38,18,24,104,1798,54,65,78,954,3,1182,30
50869-1,U-937,1,72,-7,32,29,15,48,5,49,91,64,298,27,682,19
50869-1,U-937,1,80,36,30,11,-31,83,45,28,51,35,334,-3,34,31
50869-1,U-937,1,74,27,10,25,10,72,103,55,59,57,318,9,240,17
50869-1,U-937,1,29,-14,-425,-197,-215,-75,4,21,1,14,-111,-19,-211,-459
50869-1,U-937,1,16,-109,-315,-89,-204,-6,6,18,-2,-38,-129,-23,-74,-322
50869-1,U-937,1,30,13,990,19,-167,31,70,48,77,54,159,-9,17,-215
50869-1,U-937,1,25,151,129,109,105,103,2867,88,7,88,1390,30,2167,147
50869-1,U-937,1,32,0,-14,41,2,40,634,38,71,43,1574,22,108,10
50869-1,U-937,1,9,0,61,58,21,68,944,57,47,2564,1994,44,287,28
50869-1,U-937,1,-5,13,12,22,-5,34,1527,6,18,90,1559,-20,439,21
50869-1,U-937,1,37,35,23,39,10,30,2806,77,84,210,1846,20,760,50
50869-1,U-937,1,61,-5,53,54,12,40,691,43,77,63,1402,-15,84,23
50869-1,U-937,1,45,39,12,37,-11,-7,872,83,52,65,709,-6,49,31
50869-1,U-937,1,19,8,27,34,0,43,911,24,82,137,1179,3,31,10
50869-1,U-937,1,0,4,-8,36,28,38,414,68,38,27,943,10,270,36
50869-1,U-937,1,38,20,30,3,21,4,418,30,17,495,2028,-32,124,0
50869-1,U-937,1,-16,-1,-1,7,-10,4,208,8,15,1133,1749,23,290,22
50869-1,U-937,1,45,58,0,38,34,28,1620,11,72,358,848,-12,1767,-5
50869-1,U-937,1,-3,14,56,4,-4,27,141,20,2,41,1998,8,510,-7
50869-1,U-937,1,-11,10,-17,30,14,17,109,20,-20,11,114,12,23,8
50869-1,U-937,1,20,22,-3,2,6,14,256,9,24,58,821,-10,351,4
50869-1,U-937,1,16,7,4,11,-4,50,143,42,28,12,723,-14,137,1
50869-1,U-937,1,-13,30,23,31,13,21,79,11,-8,7,27,-8,34,3
50869-1,U-937,1,29,35,-15,46,30,27,116,-4,50,4,353,-1,423,34
50869-1,U-937,1,-10,17,-6,32,5,8,170,13,21,95,2579,-48,199,-19
50869-1,U-937,1,8,37,0,49,19,5,13,62,15,46,614,-33,356,13
50869-1,U-937,1,30,-8,6,-33,-2,4,23,-5,24,40,219,38,2151,-4
50869-1,U-937,1,14,22,-2,0,-14,19,112,1,40,49,2827,-32,337,-7
50869-1,U-937,1,7,9,-2,13,0,29,3936,22,60,400,2642,36,52,-10
50869-1,U-937,1,29,7,-13,-15,13,24,137,16,28,37,532,0,775,36
50869-1,U-937,1,0,12,25,21,23,27,1192,2,5,21,5842,0,500,2
50869-1,U-937,1,18,-13,11,-16,3,-27,253,9,12,16,1479,-23,2581,-12
50869-1,U-937,1,36,-17,-1,48,-6,36,1136,15,4,12,188,15,33,43
50869-1,U-937,1,9,-31,16,-7,26,45,149,47,75,42,3897,-13,703,-14
50869-1,U-937,1,-12,21,-7,9,-9,-8,56,17,5,18,92,5,64,-20
50869-1,U-937,1,8,9,-6,61,7,7,52,31,21,36,1382,-1,517,27
50869-1,U-937,1,14,13,42,-13,50,71,220,53,49,54,413,10,196,13
50869-1,U-937,1,23,-5,7,11,14,35,82,59,5,34,1114,-4,624,-29
50869-1,U-937,1,16,-5,6,33,1,31,49,37,41,-4,1719,-25,246,-30
50869-1,U-937,1,22,-4,15,-13,14,29,587,59,-2,43,991,-3,1134,12
50869-1,U-937,1,0,36,8,-2,7,21,48,19,9,44,1693,9,656,24
50869-1,U-937,1,84,28,38,16,10,49,10852,21,91,113,4452,26,2142,59
50869-1,U-937,1,18,2,32,-1,12,55,127,39,92,5,291,-22,6,10
50869-1,U-937,1,218,-5,23,42,13,117,10053,99,107,231,5201,-8,11742,21
50869-1,U-937,1,39,-2,31,27,4,19,152,66,48,63,2443,16,445,20
50869-1,U-937,1,49,36,29,30,10,40,83,65,46,27,2592,3,2485,13
50869-1,U-937,1,18,-1,28,19,-12,30,881,6,21,20,1091,5,801,-16
50869-1,U-937,1,16,-10,6,22,-3,33,68,30,34,8,299,-2,92,35
50869-1,U-937,1,69,2,55,39,2,15,88,15,40,57,470,22,89,54
50869-1,U-937,1,49,15,-14,45,-18,46,153,48,15,61,385,-2,87,-21
50869-1,U-937,1,25,30,21,36,11,48,130,62,40,51,440,-17,724,22
50869-1,U-937,1,75,26,13,2,1,53,89,57,58,44,377,-26,885,31
50869-1,U-937,1,40,4,34,53,0,19,58,27,45,25,269,-3,44,35
50869-1,U-937,1,44,-22,16,38,23,64,10,15,33,41,157,5,60,24
