Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
51100,K2,10,hr,p-HSP27(S82),0.85516,-0.05513
51100,K2,10,hr,p-NFKB(S536),0.68233,-0.00334
51100,K2,10,hr,Bim,-0.41460,-0.32815
51100,K2,10,hr,cPARP,0.41433,-0.11464
51100,K2,10,hr,p-Histone H3(S10),-0.77953,-0.13356
51100,K2,10,hr,p27 Kip1,-1.34810,-0.19965
51100,K2,24,hr,pMEK(S217/221),3.57990,-5.36320
51100,K2,24,hr,pERK(T202/Y204),5.51070,0.87128
51100,K2,24,hr,p-p90RSK(S380),-1.97520,0.14351
51100,K2,24,hr,p-p90RSK(T573),-1.15610,-0.09859
51100,K2,24,hr,p-AKT(T308),NaN,NaN
51100,K2,24,hr,p-AKT(S473),-3.44610,0.32810
51100,K2,24,hr,p-mTOR(S2448),-0.74897,0.25577
51100,K2,24,hr,p-p70S6K(T421/S424),-0.85518,0.12891
51100,K2,24,hr,p-p70S6K(T389),1.59960,0.35027
51100,K2,24,hr,p-S6(S235/236),4.89650,0.39146
51100,K2,24,hr,p-AMPK(T172),0.25555,0.40506
51100,K2,24,hr,p-JNK(T183/Y185),-2.48560,0.05495
51100,K2,24,hr,Total c-Jun,-1.18900,0.30422
51100,K2,24,hr,p-cJun(S63),-1.35890,0.33625
51100,K2,24,hr,p-P38(T180/Y182),-2.17070,-0.40029
51100,K2,24,hr,p-HSP27(S82),-2.77680,0.17225
51100,K2,24,hr,p-NFKB(S536),-2.04010,0.01118
51100,K2,24,hr,Bim,-5.14450,-0.22263
51100,K2,24,hr,cPARP,-2.92570,-0.26219
51100,K2,24,hr,p-Histone H3(S10),3.88010,0.58744
51100,K2,24,hr,p27 Kip1,-4.95450,-0.40833
51100,K2,48,hr,pMEK(S217/221),2.71360,-5.74430
51100,K2,48,hr,pERK(T202/Y204),4.34190,-0.03649
51100,K2,48,hr,p-p90RSK(S380),-2.41140,-0.16412
51100,K2,48,hr,p-p90RSK(T573),-1.66450,-0.40273
51100,K2,48,hr,p-AKT(T308),NaN,NaN
51100,K2,48,hr,p-AKT(S473),-4.07470,-0.50698
51100,K2,48,hr,p-mTOR(S2448),-0.77565,0.17073
51100,K2,48,hr,p-p70S6K(T421/S424),-1.50260,-0.34102
51100,K2,48,hr,p-p70S6K(T389),-0.50446,-0.02805
51100,K2,48,hr,p-S6(S235/236),3.03990,0.13259
51100,K2,48,hr,p-AMPK(T172),-2.08180,-0.52141
51100,K2,48,hr,p-JNK(T183/Y185),-2.87780,-0.40828
51100,K2,48,hr,Total c-Jun,-3.83090,-0.22865
51100,K2,48,hr,p-cJun(S63),-4.05810,-0.20309
51100,K2,48,hr,p-P38(T180/Y182),-3.22150,-0.71935
51100,K2,48,hr,p-HSP27(S82),-4.28960,-0.14295
