Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,1,B08,72,hr,1209,3835,3823,1.0031,1.0038
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,2,B08,72,hr,1209,3980,4093,0.9722,0.9682
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,3,B08,72,hr,1209,3716,4121,0.9017,0.8863
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,1,B07,72,hr,1209,2043,3823,0.5344,0.3712
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,2,B07,72,hr,1209,2188,4093,0.5345,0.4007
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,3,B07,72,hr,1209,2185,4121,0.5302,0.3971
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1209,4454,3980,1.1191,1.1353
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,2,I12,72,hr,1209,4593,4252,1.0800,1.0867
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1209,4190,4376,0.9575,0.9537
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,1,I11,72,hr,1209,3971,3980,0.9977,0.9974
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,2,I11,72,hr,1209,4067,4252,0.9563,0.9514
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,3,I11,72,hr,1209,4488,4376,1.0256,1.0274
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,1,I10,72,hr,1209,4043,3980,1.0158,1.0183
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,2,I10,72,hr,1209,4216,4252,0.9914,0.9904
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,3,I10,72,hr,1209,4211,4376,0.9623,0.9590
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,1,I09,72,hr,1209,3723,3980,0.9354,0.9238
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,2,I09,72,hr,1209,4150,4252,0.9758,0.9732
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,3,I09,72,hr,1209,3600,4376,0.8226,0.8002
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,1,I08,72,hr,1209,3625,3980,0.9108,0.8941
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,2,I08,72,hr,1209,3322,4252,0.7811,0.7454
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,3,I08,72,hr,1209,3050,4376,0.6970,0.6463
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,1,I07,72,hr,1209,1651,3980,0.4148,0.1985
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,2,I07,72,hr,1209,1740,4252,0.4091,0.2220
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,3,I07,72,hr,1209,1837,4376,0.4198,0.2526
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,1,A12,72,hr,1209,3849,3980,0.9671,0.9614
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,2,A12,72,hr,1209,3767,4252,0.8858,0.8706
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,3,A12,72,hr,1209,3823,4376,0.8736,0.8595
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,1,A11,72,hr,1209,3494,3980,0.8779,0.8540
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,2,A11,72,hr,1209,3586,4252,0.8432,0.8205
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,3,A11,72,hr,1209,4160,4376,0.9506,0.9461
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,1,A10,72,hr,1209,3434,3980,0.8628,0.8354
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,2,A10,72,hr,1209,3365,4252,0.7913,0.7578
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,3,A10,72,hr,1209,3788,4376,0.8656,0.8503
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,1,A09,72,hr,1209,3806,3980,0.9563,0.9486
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,2,A09,72,hr,1209,3515,4252,0.8265,0.8006
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,3,A09,72,hr,1209,3778,4376,0.8633,0.8477
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,1,A08,72,hr,1209,3752,3980,0.9427,0.9325
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,2,A08,72,hr,1209,3783,4252,0.8895,0.8750
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,3,A08,72,hr,1209,3753,4376,0.8576,0.8411
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,1,A07,72,hr,1209,2500,3980,0.6281,0.5258
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,2,A07,72,hr,1209,2873,4252,0.6756,0.6111
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,3,A07,72,hr,1209,2961,4376,0.6766,0.6203
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1209,702,3823,0.1836,-0.2794
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1209,638,4093,0.1558,-0.3049
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1209,681,4121,0.1652,-0.2773
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,1,A17,72,hr,1209,586,3823,0.1533,-0.3537
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,2,A17,72,hr,1209,609,4093,0.1488,-0.3230
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,3,A17,72,hr,1209,679,4121,0.1648,-0.2785
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,1,A16,72,hr,1209,595,3823,0.1556,-0.3478
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,2,A16,72,hr,1209,658,4093,0.1607,-0.2926
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,3,A16,72,hr,1209,677,4121,0.1643,-0.2797
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,1,A15,72,hr,1209,672,3823,0.1758,-0.2981
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,2,A15,72,hr,1209,674,4093,0.1646,-0.2828
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,3,A15,72,hr,1209,610,4121,0.1480,-0.3210
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,1,A14,72,hr,1209,688,3823,0.1800,-0.2881
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,2,A14,72,hr,1209,742,4093,0.1813,-0.2426
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,3,A14,72,hr,1209,652,4121,0.1582,-0.2949
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,1,A13,72,hr,1209,763,3823,0.1996,-0.2423
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,2,A13,72,hr,1209,620,4093,0.1515,-0.3161
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,3,A13,72,hr,1209,655,4121,0.1589,-0.2931
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,1,B18,72,hr,1209,2511,3823,0.6568,0.5526
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,2,B18,72,hr,1209,2450,4093,0.5985,0.4937
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,3,B18,72,hr,1209,2610,4121,0.6333,0.5448
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,1,B17,72,hr,1209,1561,3823,0.4083,0.1661
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,2,B17,72,hr,1209,1590,4093,0.3884,0.1682
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,3,B17,72,hr,1209,1691,4121,0.4103,0.2086
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,1,B16,72,hr,1209,1370,3823,0.3584,0.0779
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,2,B16,72,hr,1209,1540,4093,0.3762,0.1472
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,3,B16,72,hr,1209,1552,4121,0.3766,0.1514
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,1,B15,72,hr,1209,1294,3823,0.3385,0.0415
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,2,B15,72,hr,1209,1383,4093,0.3378,0.0792
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,3,B15,72,hr,1209,1426,4121,0.3460,0.0975
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,1,B14,72,hr,1209,1342,3823,0.3510,0.0646
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,2,B14,72,hr,1209,1323,4093,0.3232,0.0523
