Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200861,FGF-2,45276,100,ng/ml,30,minute,pAkt,399.692
50576-2,184B5,200861,FGF-2,45304,1,ng/ml,90,minute,pAkt,622.540
50576-2,184B5,200861,FGF-2,45300,100,ng/ml,90,minute,pAkt,396.475
50576-2,184B5,200861,FGF-2,44751,1,ng/ml,10,minute,pErk,1083.349
50576-2,184B5,200861,FGF-2,44775,100,ng/ml,10,minute,pErk,1213.280
50576-2,184B5,200861,FGF-2,44636,1,ng/ml,30,minute,pErk,1232.139
50576-2,184B5,200861,FGF-2,44668,100,ng/ml,30,minute,pErk,1352.799
50576-2,184B5,200861,FGF-2,44759,1,ng/ml,90,minute,pErk,1304.367
50576-2,184B5,200861,FGF-2,44887,100,ng/ml,90,minute,pErk,1296.636
50576-2,184B5,200861,FGF-2,45784,1,ng/ml,10,minute,pJnk,73.701
50576-2,184B5,200861,FGF-2,46119,100,ng/ml,10,minute,pJnk,62.391
50576-2,184B5,200861,FGF-2,45788,1,ng/ml,30,minute,pJnk,69.192
50576-2,184B5,200861,FGF-2,45756,100,ng/ml,30,minute,pJnk,105.597
50576-2,184B5,200861,FGF-2,45996,1,ng/ml,90,minute,pJnk,74.091
50576-2,184B5,200861,FGF-2,46099,100,ng/ml,90,minute,pJnk,62.456
50576-2,184B5,200861,FGF-2,45392,1,ng/ml,10,minute,pP38,183.413
50576-2,184B5,200861,FGF-2,45699,100,ng/ml,10,minute,pP38,172.214
50576-2,184B5,200861,FGF-2,45531,1,ng/ml,30,minute,pP38,186.937
50576-2,184B5,200861,FGF-2,45467,100,ng/ml,30,minute,pP38,188.286
50576-2,184B5,200861,FGF-2,45679,1,ng/ml,90,minute,pP38,190.910
50576-2,184B5,200861,FGF-2,45651,100,ng/ml,90,minute,pP38,192.375
50576-2,184B5,200858,HGF,45347,1,ng/ml,10,minute,pAkt,451.148
50576-2,184B5,200858,HGF,45260,100,ng/ml,10,minute,pAkt,1042.312
