Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction,Replicate
,,50112-1,C32,0.0000,uM,48,hr,2028,300,0.8408,,0.1479,,2
,,50112-1,C32,0.0000,uM,48,hr,2426,184,1.0909,,0.0758,,2
,,50112-1,C32,0.0000,uM,48,hr,2588,321,1.1031,,0.1240,,3
,,50112-1,C32,0.0000,uM,48,hr,2638,370,1.1035,,0.1403,,3
,,50112-1,C32,0.0000,uM,48,hr,2710,270,1.1872,,0.0996,,3
,,50112-1,C32,0.0000,uM,48,hr,2745,317,1.1814,,0.1155,,3
,,50112-1,C32,0.0000,uM,48,hr,2807,347,1.1970,,0.1236,,3
,,50112-1,C32,0.0000,uM,48,hr,2834,212,1.2758,,0.0748,,3
,,50112-1,C32,0.0000,uM,48,hr,2971,242,1.3279,,0.0815,,3
,,50112-1,C32,0.0000,uM,48,hr,2342,304,0.9916,,0.1298,,4
,,50112-1,C32,0.0000,uM,48,hr,2424,355,1.0067,,0.1465,,4
,,50112-1,C32,0.0000,uM,48,hr,2433,278,1.0486,,0.1143,,4
,,50112-1,C32,0.0000,uM,48,hr,2469,352,1.0301,,0.1426,,4
,,50112-1,C32,0.0000,uM,48,hr,2582,289,1.1157,,0.1119,,4
,,50112-1,C32,0.0000,uM,48,hr,2741,272,1.2014,,0.0992,,4
,,50112-1,C32,0.0000,uM,48,hr,2832,241,1.2607,,0.0851,,4
,,50112-1,C32,0.0000,uM,72,hr,1930,203,0.7540,,0.1052,,1
,,50112-1,C32,0.0000,uM,72,hr,2441,296,0.9365,,0.1213,,1
,,50112-1,C32,0.0000,uM,72,hr,2479,286,0.9575,,0.1154,,1
,,50112-1,C32,0.0000,uM,72,hr,2551,225,1.0155,,0.0882,,1
,,50112-1,C32,0.0000,uM,72,hr,2590,219,1.0352,,0.0846,,1
,,50112-1,C32,0.0000,uM,72,hr,2644,259,1.0413,,0.0980,,1
,,50112-1,C32,0.0000,uM,72,hr,2711,175,1.1072,,0.0646,,1
,,50112-1,C32,0.0000,uM,72,hr,1689,224,0.6396,,0.1326,,2
,,50112-1,C32,0.0000,uM,72,hr,2252,256,0.8715,,0.1137,,2
,,50112-1,C32,0.0000,uM,72,hr,2260,276,0.8662,,0.1221,,2
,,50112-1,C32,0.0000,uM,72,hr,2363,239,0.9274,,0.1011,,2
,,50112-1,C32,0.0000,uM,72,hr,2383,216,0.9461,,0.0906,,2
,,50112-1,C32,0.0000,uM,72,hr,2404,244,0.9431,,0.1015,,2
,,50112-1,C32,0.0000,uM,72,hr,2454,204,0.9824,,0.0831,,2
,,50112-1,C32,0.0000,uM,72,hr,2493,292,0.9610,,0.1171,,3
,,50112-1,C32,0.0000,uM,72,hr,2667,181,1.0854,,0.0679,,3
,,50112-1,C32,0.0000,uM,72,hr,2676,288,1.0426,,0.1076,,3
,,50112-1,C32,0.0000,uM,72,hr,2695,212,1.0841,,0.0787,,3
,,50112-1,C32,0.0000,uM,72,hr,2870,224,1.1553,,0.0780,,3
,,50112-1,C32,0.0000,uM,72,hr,2919,203,1.1858,,0.0695,,3
